Player1,Gender,Result1,FNL1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,BPC.1,BPW.1,TPW.1,ST1.1,ST2.1,ST3.1
Bernard Tomic,1,0,1,62,47,38,23,8,2,6,11,117,6,3,6
John Isner,1,1,3,70,71,30,21,23,2,3,9,130,7,6,4
Edouard Roger-Vasselin,1,0,1,61,48,39,25,3,3,3,3,102,3,2,7
Ivan Dodig,1,1,3,66,45,34,14,16,0,5,10,93,6,6,6
Rogerio Dutra Silva,1,0,0,58,21,42,12,2,5,0,1,46,2,1,0
Novak Djokovic,1,1,3,74,48,26,11,13,2,5,14,102,7,6,6
Jarkko Nieminen,1,0,2,64,65,36,25,9,9,5,12,138,6,3,6
Alex Bogomolov Jr.,1,0,2,69,87,31,30,8,9,6,14,173,6,6,6
Marcel Granollers,1,1,3,62,63,38,28,14,4,6,11,145,3,4,6
Tommy Haas,1,1,3,60,51,40,20,15,9,6,10,118,6,6,7
Alexandr Dolgopolov,1,0,0,53,35,47,19,10,4,2,9,84,5,1,3
Evgeny Donskoy,1,1,3,55,63,45,34,9,2,5,17,155,6,6,3
Lleyton Hewitt,1,1,3,50,56,50,38,10,7,8,18,160,6,5,3
Andy Murray,1,1,3,57,41,43,35,5,3,5,9,117,7,6,3
Donald Young,1,0,0,62,42,38,20,5,8,3,13,109,5,3,4
Andreas Seppi,1,1,3,52,48,48,27,5,7,7,13,123,7,6,7
Tobias Kamke,1,0,0,46,19,54,23,3,5,2,2,62,4,2,2
Stanislas Wawrinka,1,1,3,60,51,40,25,9,5,3,7,111,7,7,6
Marcos Baghdatis,1,1,3,43,24,57,24,10,6,6,12,82,6,6,6
Julien Benneteau,1,1,3,58,39,42,18,9,2,7,12,98,6,6,6
Denis Kudla,1,0,0,60,49,40,26,1,6,4,14,114,6,6,3
Richard Gasquet,1,1,3,64,42,36,21,14,4,4,11,112,6,2,6
Feliciano Lopez,1,0,1,59,56,41,29,7,8,0,4,113,7,4,3
Jack Sock,1,0,1,46,35,54,27,19,8,2,6,90,6,6,1
Mikhail Kukushkin,1,0,1,51,50,49,27,4,3,6,8,112,4,3,6
Roger Federer,1,1,3,57,36,43,15,8,4,6,14,90,6,6,6
Tommy Robredo,1,1,3,60,58,40,25,11,5,7,14,150,7,6,4
John Isner,1,0,1,74,72,26,14,26,5,2,7,123,4,6,5
Ivan Dodig,1,0,0,52,28,48,18,6,1,0,2,63,4,3,3
Novak Djokovic,1,1,3,68,30,32,12,3,2,8,13,94,6,6,6
Tim Smyczek,1,0,2,61,63,39,26,10,3,7,16,146,4,6,6
Tommy Haas,1,0,1,50,37,50,22,5,1,4,9,95,3,2,6
Evgeny Donskoy,1,0,1,58,55,42,17,13,2,1,7,111,3,6,6
Andy Murray,1,1,3,51,37,49,25,7,2,4,10,99,7,6,6
Andreas Seppi,1,0,2,61,55,39,23,10,5,5,19,134,3,4,6
Stanislas Wawrinka,1,1,3,52,55,48,37,11,5,5,15,151,6,6,6
Julien Benneteau,1,0,0,52,25,48,12,5,6,0,3,63,0,3,2
Richard Gasquet,1,1,3,59,81,41,45,6,9,5,21,195,6,7,2
Janko Tipsarevic,1,0,1,59,68,41,34,8,5,5,14,153,6,6,5
Roger Federer,1,0,0,60,38,40,16,5,0,2,16,101,6,3,4
Philipp Kohlschreiber,1,0,1,63,58,37,26,12,1,0,1,112,7,4,3
Mikhail Youzhny,1,1,3,59,55,41,29,9,6,10,14,145,6,3,6
Andy Murray,1,1,3,63,58,37,23,5,5,6,15,129,6,6,6
Stanislas Wawrinka,1,1,3,58,55,42,27,14,6,6,11,127,3,6,7
Richard Gasquet,1,1,3,59,57,41,31,6,3,6,14,142,6,6,4
Tommy Robredo,1,0,0,52,20,48,9,3,4,0,0,43,0,2,2
Novak Djokovic,1,1,3,68,49,32,19,5,1,7,12,115,6,6,3
Andy Murray,1,0,0,63,37,37,22,5,4,0,0,78,4,3,2
Novak Djokovic,1,1,3,67,64,33,25,9,6,4,19,165,2,7,3
Richard Gasquet,1,0,0,64,41,36,15,6,4,1,6,84,4,6,2
Novak Djokovic,1,0,1,68,40,32,16,6,2,3,11,102,2,6,4
Michael Russell,1,1,0,59,37,41,17,6,4,1,3,83,3,4,2
Albano Olivetti,1,1,0,56,37,44,15,18,8,0,1,71,3,3,4
Guillaume Rufin,1,1,3,55,66,45,27,10,9,5,15,149,7,6,2
Dmitry Tursunov,1,1,3,55,52,45,27,16,3,6,9,121,7,4,6
Florent Serra,1,1,1,61,63,39,30,8,2,0,3,123,7,2,3
Bradley Klahn,1,1,3,71,72,29,26,6,1,3,11,151,6,6,7
Dudi Sela,1,1,3,59,65,41,38,2,7,11,26,187,7,6,6
Janko Tipsarevic,1,1,2,55,42,45,28,12,2,2,9,104,6,6,6
Andreas Haider-Maurer,1,1,3,49,58,51,43,10,12,4,14,160,3,6,1
Andrej Martin,1,1,0,49,35,51,20,4,3,7,12,103,4,6,5
Thomaz Bellucci,1,1,0,57,28,43,10,7,2,1,4,65,3,2,2
David Ferrer,1,1,3,55,40,45,21,11,2,5,11,103,7,6,6
Marinko Matosevic,1,1,1,59,44,41,27,7,3,3,9,119,3,7,3
Frank Dancevic,1,1,3,64,68,36,34,14,3,3,4,154,7,3,7
Bernard Tomic,1,1,3,68,71,32,28,9,2,5,17,173,6,3,4
Kei Nishikori,1,1,0,54,30,46,15,3,8,2,9,80,4,4,2
Ivan Dodig,1,1,3,57,60,43,34,10,5,6,9,145,6,7,1
Nikolay Davydenko,1,1,3,57,57,43,28,7,6,8,14,146,6,4,1
Rafael Nadal,1,1,3,72,42,28,11,3,5,5,7,94,6,6,6
Ricardas Berankis,1,1,0,53,18,47,9,3,4,1,8,50,1,2,2
Lukas Rosol,1,1,1,47,44,53,27,18,14,5,12,111,3,6,3
Jarkko Nieminen,1,1,3,59,38,41,19,6,3,7,11,111,7,7,6
Grigor Dimitrov,1,1,2,58,53,42,27,13,7,6,14,134,6,3,4
Paul-Henri Mathieu,1,1,0,56,29,44,16,7,8,1,3,63,4,4,1
Daniel Gimeno-Traver,1,1,0,56,45,44,22,14,4,1,2,90,4,6,3
Martin Klizan,1,1,0,47,10,53,10,4,5,0,9,45,1,0,1
Juan Monaco,1,1,0,63,20,37,11,1,5,0,3,51,4,2,0
Steve Johnson,1,1,1,48,56,52,40,12,10,1,5,137,7,4,6
Nicolas Almagro,1,1,1,64,36,36,14,7,5,3,9,84,3,1,6
Michal Przysiezny,1,1,1,58,52,42,27,14,2,4,6,110,4,7,4
Jeremy Chardy,1,1,3,56,64,44,40,8,7,6,11,170,6,4,6
Denis Kudla,1,1,3,63,56,37,27,7,5,7,17,140,6,6,6
Tomas Berdych,1,1,3,56,34,44,12,10,3,8,15,93,6,6,6
Thiemo de Bakker,1,1,0,52,33,48,19,9,4,2,7,82,4,4,4
Milos Raonic,1,1,3,63,51,37,19,28,4,3,12,116,6,7,6
Maximo Gonzalez,1,1,3,65,45,35,13,9,4,6,16,111,6,6,6
Philipp Petzschner,1,1,1,46,29,54,27,10,5,3,8,91,6,6,2
Grega Zemlja,1,1,0,49,29,51,18,9,9,1,3,65,3,2,5
Carlos Berlocq,1,1,3,64,61,36,30,5,7,9,22,163,6,3,6
Adrian Mannarino,1,1,3,57,47,43,30,11,7,6,13,135,4,6,6
Sam Querrey,1,1,3,58,60,42,26,24,4,4,18,145,7,4,6
Filippo Volandri,1,1,0,56,18,44,10,1,5,0,2,45,0,2,3
Gael Monfils,1,1,3,84,33,16,4,5,1,9,13,81,6,6,6
Edouard Roger-Vasselin,1,1,3,64,38,36,18,10,1,4,11,93,6,6,6
Philipp Kohlschreiber,1,1,3,58,31,42,16,10,4,7,12,86,6,6,6
Vasek Pospisil,1,1,2,48,66,52,46,21,15,7,18,176,6,6,6
Alex Bogomolov Jr.,1,1,3,64,82,36,33,2,6,5,12,181,7,2,6
James Duckworth,1,1,1,55,47,45,26,8,5,3,7,114,6,2,4
Marcel Granollers,1,1,3,52,43,48,27,13,9,8,16,132,6,3,1
Fabio Fognini,1,1,0,54,21,46,13,3,7,1,3,55,1,2,2
Alexandr Dolgopolov,1,1,3,45,34,55,27,6,4,6,21,115,6,6,6
Mikhail Youzhny,1,1,3,64,50,36,20,8,3,3,11,115,6,6,7
Evgeny Donskoy,1,1,3,57,48,43,27,5,1,4,10,116,7,6,7
Peter Gojowczyk,1,1,3,51,40,49,29,8,6,6,11,124,7,2,6
Brian Baker,1,1,1,49,32,51,28,14,10,7,12,110,3,6,3
Juan Martin Del Potro,1,1,3,62,62,38,31,13,4,4,13,163,6,6,6
Michael Llodra,1,1,0,63,31,37,12,2,6,1,2,61,2,4,3
Leonardo Mayer,1,1,3,57,60,43,37,8,8,3,14,157,7,6,3
Xavier Malisse,1,1,1,46,41,54,36,14,5,4,9,124,3,6,5
Somdev Devvarman,1,1,3,56,60,44,31,5,3,8,12,151,4,6,6
Radek Stepanek,1,1,0,66,37,34,16,1,3,3,7,88,6,3,2
Ivo Karlovic,1,1,3,63,90,37,29,38,8,3,11,167,6,3,6
Go Soeda,1,1,0,54,30,46,15,0,5,0,1,63,4,3,1
Kevin Anderson,1,1,3,53,50,47,35,20,6,4,15,126,7,4,6
Stephane Robert,1,1,0,53,35,47,19,8,5,3,10,97,3,5,5
Dmitry Tursunov,1,1,2,58,24,42,13,3,3,1,2,51,7,1,NA
Bradley Klahn,1,1,1,71,69,29,18,17,3,3,9,140,4,6,6
Milos Raonic,1,1,3,63,44,37,12,9,2,6,18,102,6,6,6
Jack Sock,1,1,3,62,54,38,25,7,9,4,7,116,7,1,7
Janko Tipsarevic,1,1,3,44,32,56,31,3,3,7,11,102,6,6,6
Mikhail Kukushkin,1,1,3,57,42,43,29,7,0,3,3,105,6,6,7
David Ferrer,1,1,3,59,48,41,29,10,3,8,16,135,6,6,6
Carlos Berlocq,1,1,0,84,36,16,2,1,2,1,3,58,3,2,1
Sam Querrey,1,1,1,58,77,42,34,25,7,1,8,150,6,6,7
Frank Dancevic,1,1,0,65,34,35,10,4,3,2,10,65,4,4,1
Daniel Evans,1,1,3,56,43,44,27,9,7,6,15,125,1,6,7
Gael Monfils,1,1,1,83,74,17,11,7,3,1,7,120,5,2,6
Philipp Kohlschreiber,1,1,3,58,44,42,26,13,2,7,23,130,6,6,5
Nikolay Davydenko,1,1,0,51,25,49,18,2,4,1,6,67,1,4,4
Rafael Nadal,1,1,3,69,30,31,11,3,0,8,14,84,6,6,6
Benjamin Becker,1,1,0,59,33,41,19,6,4,1,1,73,6,2,2
Joao Sousa,1,1,3,63,66,37,23,6,3,4,11,145,1,6,3
Tim Smyczek,1,1,3,63,73,37,26,21,3,5,16,169,3,7,2
Rajeev Ram,1,1,2,66,66,34,22,11,2,4,10,127,6,6,2
Yen-Hsun Lu,1,1,0,68,44,32,13,4,5,4,13,101,3,4,6
Mikhail Youzhny,1,1,3,52,33,48,23,8,3,7,19,104,7,6,6
Peter Gojowczyk,1,1,2,55,67,45,30,15,8,4,10,151,3,4,6
Juan Martin Del Potro,1,1,2,57,57,43,39,11,8,6,11,151,4,7,6
Leonardo Mayer,1,1,1,63,40,37,16,6,5,1,9,87,5,1,6
Florian Mayer,1,1,3,57,48,43,21,10,6,7,21,126,7,6,6
Somdev Devvarman,1,1,0,56,41,44,24,7,4,5,18,114,6,4,5
Denis Istomin,1,1,3,46,24,54,21,6,3,7,13,82,6,6,6
Ivo Karlovic,1,1,0,63,52,37,21,12,6,1,2,98,5,6,4
Kevin Anderson,1,1,0,64,27,36,11,7,4,0,0,53,2,2,2
Jeremy Chardy,1,1,0,57,29,43,13,11,9,3,9,76,4,3,4
Tomas Berdych,1,1,3,57,49,43,28,11,3,5,15,141,7,7,6
Dmitry Tursunov,1,1,1,53,46,47,24,25,4,3,7,99,3,6,4
Milos Raonic,1,1,3,67,66,33,19,28,6,4,8,134,6,6,6
Janko Tipsarevic,1,1,3,56,46,44,33,18,2,4,8,116,3,7,6
David Ferrer,1,1,3,60,47,40,20,7,2,8,26,136,6,6,4
Adrian Mannarino,1,1,0,65,27,35,9,1,0,0,1,54,3,0,2
Daniel Evans,1,1,1,62,65,38,23,8,8,4,11,130,6,1,6
Philipp Kohlschreiber,1,1,3,73,73,27,20,6,1,3,4,123,6,3,7
Rafael Nadal,1,1,3,65,41,35,20,3,2,4,7,90,6,6,6
Joao Sousa,1,1,0,59,30,41,10,2,3,1,2,54,0,2,2
Marcel Granollers,1,1,3,59,66,41,28,10,3,6,12,147,6,4,0
Mikhail Youzhny,1,1,3,57,43,43,21,9,6,7,12,109,6,6,2
Lleyton Hewitt,1,1,3,52,49,48,37,11,2,4,7,128,6,7,3
Florian Mayer,1,1,0,62,40,38,15,0,2,0,2,74,6,2,2
Denis Istomin,1,1,3,65,65,35,23,24,6,6,8,138,6,6,2
Marcos Baghdatis,1,1,1,47,50,53,43,16,8,2,9,132,3,2,7
Tomas Berdych,1,1,3,58,39,42,14,11,1,6,14,93,6,6,6
Milos Raonic,1,1,2,56,83,44,46,39,11,6,22,207,7,6,6
David Ferrer,1,1,3,65,68,35,23,13,4,5,16,164,7,3,7
Tommy Robredo,1,1,3,70,61,30,17,6,4,4,7,110,7,6,6
Rafael Nadal,1,1,3,66,54,34,26,3,0,5,21,136,6,6,6
Lleyton Hewitt,1,1,2,52,48,48,37,8,9,8,12,146,3,6,7
Denis Istomin,1,1,1,69,55,31,20,4,2,2,4,114,7,1,4
Tomas Berdych,1,1,1,58,51,42,19,3,3,3,6,110,6,1,6
David Ferrer,1,1,2,63,53,37,29,5,3,4,15,137,3,1,6
Rafael Nadal,1,1,3,61,31,39,14,2,0,7,10,82,6,6,6
Mikhail Youzhny,1,1,1,56,29,44,23,2,4,2,10,87,3,2,6
Stanislas Wawrinka,1,1,3,55,37,45,20,4,4,4,11,107,6,6,6
Stanislas Wawrinka,1,1,2,50,68,50,48,8,7,5,9,165,6,6,6
Rafael Nadal,1,1,3,71,51,29,16,3,1,4,4,102,6,7,6
Rafael Nadal,1,1,3,64,51,36,24,1,1,7,12,121,6,3,6
